incident_id,incident_date,sector,region,attack_type,threat_actor,records_affected,downtime_hours,ransom_demand_usd,detection_time_hours,severity_score,response_team_size,regulatory_fine_usd,resolved_within_7_days,data_exfiltration,zero_day_used
INC-00059,2022-09-28,Healthcare,Asia Pacific,Supply Chain,Hacktivist,179492,8.94,26345,47.08,5.14,13,0,0,0,0
INC-00060,2022-06-10,Manufacturing,Middle East & Africa,Supply Chain,State-Sponsored,59636,30.03,27825,39.67,6.42,12,31432,0,1,1
INC-00061,2021-06-27,Government,Middle East & Africa,Credential Theft,Insider,25802,0.5,91623,67.36,5.81,5,0,0,1,0
INC-00062,2021-09-10,Education,Latin America,Malware,Cybercriminal Group,100542,32.56,40267,60.88,6.71,18,0,0,0,0
INC-00063,2023-07-01,Finance,Asia Pacific,Malware,Hacktivist,60468,40.21,21032,41.62,7.49,18,45616,0,0,0
INC-00064,2023-04-03,Retail,Latin America,Phishing,State-Sponsored,99979,23.14,49543,35.27,5.76,5,81067,1,0,0
INC-00065,2023-10-21,Retail,Asia Pacific,DDoS,Unknown,10440,1.49,0,30.82,2.95,15,0,1,0,0
INC-00066,2022-07-02,Finance,Europe,Phishing,State-Sponsored,879566,15.92,27495,42.61,6.73,9,16869,1,0,0
INC-00067,2024-08-29,Education,Latin America,DDoS,State-Sponsored,155127,42.44,0,47.41,6.59,11,0,0,0,1
INC-00068,2024-01-31,Government,North America,Malware,Cybercriminal Group,53625,46.3,0,16.32,6.9,9,0,0,0,0
INC-00069,2022-11-17,Technology,Latin America,Insider Threat,Hacktivist,66074,35.1,55256,28.62,6.29,14,43882,1,1,0
INC-00070,2022-11-13,Technology,Middle East & Africa,Insider Threat,Cybercriminal Group,26710,6.05,83036,28.32,3.11,10,506,1,0,0
INC-00071,2024-12-03,Energy,North America,Ransomware,Hacktivist,316305,2.89,0,28.65,4.03,9,48905,1,0,0
INC-00072,2022-06-23,Education,North America,Malware,State-Sponsored,17734,36.01,0,40.27,6.25,10,4872,0,0,0
INC-00073,2024-03-10,Retail,North America,Malware,Cybercriminal Group,87184,44.07,0,1,6.05,17,9458,1,0,0
INC-00074,2021-05-24,Energy,North America,Insider Threat,Unknown,3848,23.11,33398,42.97,3.58,9,17085,0,0,0
INC-00075,2025-03-06,Government,Asia Pacific,Insider Threat,Hacktivist,37169,50.68,0,43.76,10,18,67259,0,1,1
INC-00076,2021-01-05,Technology,Europe,Credential Theft,Cybercriminal Group,64823,0.5,0,48.49,5.45,5,29352,0,0,1
INC-00077,2024-08-08,Finance,Latin America,DDoS,Hacktivist,122650,26.97,136685,52.27,5.36,7,14106,0,0,0
INC-00078,2022-02-05,Technology,Middle East & Africa,Insider Threat,State-Sponsored,335942,32.54,1123,23.9,5.5,13,10596,1,0,0
INC-00079,2022-11-10,Government,Latin America,Insider Threat,Unknown,99019,0.5,33818,33.31,5.38,12,155660,1,1,0
INC-00080,2022-02-03,Technology,Europe,Phishing,Hacktivist,607665,3.66,36635,43.96,4.29,8,40231,1,0,0
INC-00081,2023-07-04,Technology,Latin America,Credential Theft,Insider,66920,20.36,25517,24.25,5.61,7,23388,1,1,0
INC-00082,2022-02-09,Government,Asia Pacific,Phishing,Cybercriminal Group,35649,31.67,54611,59.58,6.0,12,38314,0,0,0
INC-00083,2023-12-26,Retail,Latin America,Ransomware,Unknown,178507,22.7,205926,28.49,5.61,17,0,1,1,0
INC-00084,2021-08-27,Energy,Middle East & Africa,Insider Threat,Unknown,197189,50.09,18019,42.79,6.71,11,0,0,0,0
INC-00085,2024-12-07,Education,Europe,Supply Chain,Insider,104301,34.08,116826,1,6.36,13,0,0,0,0
INC-00086,2022-04-19,Manufacturing,Asia Pacific,Ransomware,Insider,63090,58.2,96121,24.23,5.27,8,24485,1,0,0
INC-00087,2023-10-07,Education,Europe,Ransomware,Unknown,76259,68.33,245121,35.7,8.73,9,42087,1,1,0
INC-00088,2024-08-26,Government,North America,Ransomware,Insider,356778,31.4,208821,27.74,8.81,13,0,1,1,0
INC-00089,2023-08-07,Manufacturing,Asia Pacific,DDoS,Cybercriminal Group,63522,15.23,0,61.64,6.0,17,30654,0,0,0
INC-00090,2021-08-08,Retail,Latin America,Malware,Insider,75184,30.86,0,29.89,4.47,12,1794,0,0,0
INC-00091,2023-11-01,Government,North America,Insider Threat,State-Sponsored,128734,56.02,0,29.34,7.64,18,18702,0,0,0
INC-00092,2023-07-29,Energy,Latin America,Credential Theft,State-Sponsored,305915,12.79,0,50.95,7.12,8,16366,1,1,0
INC-00093,2025-01-16,Government,Middle East & Africa,Phishing,Unknown,56954,2.56,0,22.2,4.31,6,38821,1,0,0
INC-00094,2022-11-04,Healthcare,North America,Malware,Insider,62653,25.01,103302,8.85,4.03,11,0,1,0,0
INC-00095,2024-10-09,Healthcare,Middle East & Africa,Malware,Insider,10983,6.0,25444,1,4.34,10,31546,1,0,1
INC-00096,2023-03-27,Energy,Latin America,Insider Threat,Unknown,27475,2.04,13463,45.67,5.26,12,0,1,1,0
INC-00097,2021-05-01,Energy,Latin America,Ransomware,Insider,82157,17.76,191653,27.13,4.74,4,5570,0,1,0
INC-00098,2022-11-13,Education,Europe,Phishing,Unknown,3290,3.63,102948,64.0,1.81,15,1169,0,0,0
INC-00099,2023-06-16,Government,Asia Pacific,Insider Threat,State-Sponsored,465918,26.5,45837,55.24,8.82,10,150175,0,1,0
INC-00100,2022-12-04,Technology,Europe,Supply Chain,Unknown,225349,6.13,9708,38.41,6.3,3,0,1,1,0
INC-00101,2021-05-06,Education,Europe,Insider Threat,Hacktivist,104705,6.8,34959,53.34,4.8,6,40169,0,1,0
INC-00102,2024-12-28,Energy,Latin America,Insider Threat,Cybercriminal Group,79148,7.52,31485,20.51,5.31,9,0,1,0,0
INC-00103,2021-11-26,Government,Europe,Ransomware,Insider,123090,44.3,364138,41.24,6.72,5,18749,0,0,0
INC-00104,2023-06-02,Government,Europe,Insider Threat,Insider,16363,34.89,0,1,4.22,3,76600,1,0,0
INC-00105,2024-10-14,Healthcare,North America,Credential Theft,Cybercriminal Group,126158,0.5,2660,45.35,5.64,13,0,0,1,0
INC-00106,2024-01-26,Education,Asia Pacific,Credential Theft,Insider,22040,20.05,106087,5.2,5.83,11,18952,1,1,0
INC-00107,2023-09-25,Retail,Middle East & Africa,Supply Chain,Insider,45150,6.64,3143,40.73,4.22,8,0,0,0,0
INC-00108,2023-10-08,Manufacturing,North America,Ransomware,Unknown,52436,47.49,409453,30.8,7.49,11,0,1,0,0
INC-00109,2024-08-13,Finance,Middle East & Africa,Insider Threat,Insider,40686,42.92,2289,53.19,7.47,17,62737,0,1,0
INC-00110,2022-05-29,Healthcare,North America,Phishing,State-Sponsored,46791,41.21,16931,30.49,8.31,16,59097,0,0,0
INC-00111,2025-01-07,Retail,Latin America,Ransomware,Unknown,136009,5.97,62333,69.0,3.62,11,18046,0,0,0
INC-00112,2022-09-01,Education,Latin America,Phishing,Cybercriminal Group,126177,40.62,30856,1,6.82,19,4584,1,0,0
INC-00113,2023-06-07,Government,North America,Phishing,Hacktivist,41607,50.58,37231,77.91,6.84,14,8724,0,0,0
INC-00114,2024-07-15,Retail,Asia Pacific,DDoS,Unknown,170782,27.51,161250,47.39,3.91,14,41626,0,0,0
INC-00115,2024-12-24,Retail,Asia Pacific,Supply Chain,Insider,249152,0.5,60155,51.98,5.15,7,49459,0,0,1
INC-00116,2024-07-09,Energy,Latin America,Supply Chain,Cybercriminal Group,108967,10.58,57196,40.3,7.63,7,27698,0,1,1
INC-00117,2022-06-16,Healthcare,Middle East & Africa,Phishing,Cybercriminal Group,98118,0.5,28808,57.93,4.73,11,48175,1,0,0
INC-00118,2022-12-09,Government,North America,DDoS,Unknown,163684,49.72,9212,49.29,7.29,14,59266,1,0,0
INC-00119,2021-05-31,Energy,Europe,Ransomware,Insider,45948,37.83,78963,65.62,5.58,7,8937,0,0,0
INC-00120,2024-08-18,Technology,Middle East & Africa,Supply Chain,Unknown,37537,31.62,1186,35.41,6.38,11,0,0,1,0
INC-00121,2022-04-08,Retail,Latin America,Insider Threat,Unknown,18716,5.04,63486,25.05,4.58,11,0,1,1,0
INC-00122,2023-07-12,Manufacturing,North America,Insider Threat,Unknown,186354,26.68,0,48.28,7.71,11,18629,0,1,0
INC-00123,2021-05-11,Finance,Middle East & Africa,Malware,Hacktivist,41384,41.84,45761,10.6,6.48,11,0,0,0,0
INC-00124,2021-04-11,Manufacturing,Asia Pacific,Insider Threat,Insider,151454,26.43,120394,56.76,7.54,15,0,0,1,0
INC-00125,2024-03-14,Education,Europe,Ransomware,Insider,351696,14.38,0,55.48,6.04,2,9145,0,1,0
INC-00126,2024-03-28,Healthcare,Asia Pacific,Insider Threat,Cybercriminal Group,103664,39.7,34127,60.31,9.29,10,137752,0,1,0
INC-00127,2024-02-24,Energy,Europe,Ransomware,Unknown,117646,37.04,282279,10.01,6.99,2,0,0,0,0
INC-00128,2023-03-06,Education,Latin America,DDoS,State-Sponsored,118044,15.1,79306,21.87,3.91,11,25961,1,0,0
INC-00129,2023-04-16,Government,Middle East & Africa,Ransomware,State-Sponsored,474113,48.83,296010,10.64,9.66,7,36848,0,1,0
INC-00130,2021-10-31,Government,Middle East & Africa,Insider Threat,Unknown,23359,11.24,33798,37.65,3.58,11,0,1,1,0
INC-00131,2021-10-10,Education,North America,Credential Theft,Unknown,34194,33.25,0,21.68,6.15,11,14820,0,1,0
INC-00132,2024-09-27,Energy,Middle East & Africa,Malware,Insider,52577,35.52,61846,11.97,6.53,8,60501,0,1,0
INC-00133,2022-11-01,Healthcare,Europe,Phishing,Unknown,388236,3.63,32410,62.55,4.78,12,26287,0,0,0
INC-00134,2022-03-21,Education,Europe,Ransomware,Hacktivist,467035,18.95,156374,1,4.17,13,3883,1,0,0
INC-00135,2022-02-19,Healthcare,Europe,Phishing,State-Sponsored,54886,13.95,74388,56.35,8.24,11,193837,0,1,0
INC-00136,2024-12-30,Government,Asia Pacific,Supply Chain,Cybercriminal Group,46148,22.67,32254,27.09,5.98,18,0,0,1,0
INC-00137,2022-01-01,Retail,Latin America,Malware,Unknown,200558,22.18,62811,57.12,7.33,11,0,1,1,0
INC-00138,2023-03-17,Education,Latin America,DDoS,State-Sponsored,80875,12.66,75505,30.94,3.79,6,69972,1,0,0
INC-00139,2021-05-07,Technology,Middle East & Africa,Phishing,State-Sponsored,237860,25.01,39271,23.28,6.16,14,4390,1,1,0
INC-00140,2024-10-12,Education,Middle East & Africa,Supply Chain,Insider,57413,0.5,118713,36.7,4.72,3,10299,1,1,0
INC-00141,2022-07-15,Education,Europe,DDoS,Hacktivist,55287,32.48,44746,36.38,5.07,15,23516,1,0,0
INC-00142,2022-01-28,Retail,North America,Phishing,Hacktivist,5373,26.38,0,25.2,4.07,20,5449,1,0,0
INC-00143,2024-01-19,Government,Asia Pacific,DDoS,State-Sponsored,120850,16.75,55159,1,5.59,8,0,0,0,0
INC-00144,2024-04-06,Finance,Middle East & Africa,DDoS,Hacktivist,226325,48.42,25460,55.35,8.16,10,0,0,0,1
INC-00145,2023-05-07,Technology,Europe,Supply Chain,State-Sponsored,55213,27.19,24733,29.63,6.23,14,2511,1,1,1
INC-00146,2023-05-17,Retail,Latin America,Supply Chain,Hacktivist,428447,23.44,84826,34.73,7.69,13,87,0,1,0
INC-00147,2024-02-27,Healthcare,Latin America,DDoS,Hacktivist,89434,7.97,56800,55.89,4.74,12,0,0,0,0
INC-00148,2021-12-13,Education,Europe,Phishing,Cybercriminal Group,17829,16.37,76006,56.11,4.56,8,0,1,0,0
INC-00149,2023-05-05,Energy,Middle East & Africa,DDoS,State-Sponsored,73438,10.64,67783,56.44,5.62,6,0,0,1,0
INC-00150,2024-06-16,Energy,Middle East & Africa,Phishing,Unknown,48337,30.55,0,59.76,4.39,14,10112,0,0,0
INC-00151,2022-12-02,Retail,Europe,Credential Theft,Unknown,75029,50.75,33670,52.31,8.38,4,7180,1,1,0
INC-00152,2022-07-23,Healthcare,Latin America,Malware,Hacktivist,24280,9.9,73970,45.09,4.54,14,53935,0,0,0
INC-00153,2024-12-05,Government,Asia Pacific,Insider Threat,State-Sponsored,249555,4.22,51135,22.39,5.28,8,0,1,1,0
INC-00154,2024-10-06,Healthcare,Latin America,Insider Threat,Cybercriminal Group,74988,18.42,0,39.81,5.97,13,92658,1,0,0
INC-00155,2021-02-10,Healthcare,Europe,Malware,Hacktivist,41740,29.75,72161,28.53,6.03,11,72304,1,0,0
INC-00156,2023-04-22,Retail,North America,DDoS,Cybercriminal Group,65580,10.3,36707,47.82,3.81,9,38497,0,0,0
INC-00157,2022-11-30,Finance,Europe,Supply Chain,Cybercriminal Group,142865,45.8,69998,39.97,9.71,13,22297,1,1,0
INC-00158,2021-04-19,Technology,Middle East & Africa,Phishing,Cybercriminal Group,9735,32.9,0,1.73,4.6,11,47425,0,0,0
INC-00159,2021-03-22,Retail,Asia Pacific,DDoS,Insider,85976,39.51,127480,24.13,5.63,14,17620,0,0,0
INC-00160,2023-11-02,Education,Latin America,Supply Chain,Unknown,109752,12.09,0,42.7,3.06,15,0,1,0,0
INC-00161,2025-03-08,Education,Latin America,Insider Threat,Hacktivist,26505,24.44,0,44.99,4.93,6,0,1,0,0
INC-00162,2022-07-25,Government,Middle East & Africa,Supply Chain,Cybercriminal Group,209170,7.0,6669,1,5.26,14,8541,1,0,0
INC-00163,2024-07-10,Retail,Europe,DDoS,Insider,37495,26.18,28703,54.29,4.51,11,29698,1,0,0
INC-00164,2021-09-28,Finance,North America,DDoS,Hacktivist,36188,20.91,53494,34.36,4.55,10,4775,0,0,0
INC-00165,2022-04-03,Education,Asia Pacific,DDoS,Insider,37853,22.22,45674,12.62,6.84,15,3320,1,1,0
INC-00166,2022-06-10,Technology,Middle East & Africa,DDoS,Unknown,100055,53.93,59405,33.32,7.64,9,0,0,1,0
INC-00167,2021-03-25,Manufacturing,Europe,Malware,Cybercriminal Group,284739,45.83,48152,55.88,7.82,9,0,0,0,0
INC-00168,2024-08-11,Retail,Middle East & Africa,Phishing,Hacktivist,37963,16.91,61887,37.12,3.94,15,0,1,0,0
INC-00169,2024-12-06,Retail,Asia Pacific,Ransomware,Insider,121134,0.5,333542,26.77,4.62,5,0,1,1,0
INC-00170,2024-05-24,Finance,Asia Pacific,Malware,Hacktivist,176962,34.1,80703,36.85,6.88,12,33330,1,0,0
INC-00171,2023-07-11,Energy,Middle East & Africa,Credential Theft,Insider,21142,31.12,97488,20.71,4.61,6,0,0,0,0
INC-00172,2022-06-10,Manufacturing,Europe,DDoS,Hacktivist,19365,0.5,38245,1,2.75,14,35444,1,0,0
INC-00173,2022-10-23,Education,Asia Pacific,Ransomware,State-Sponsored,37541,16.69,113735,45.42,5.97,9,19625,0,1,0
INC-00174,2021-11-10,Education,Latin America,Ransomware,Unknown,76874,50.8,143654,60.19,7.43,11,0,0,1,0
INC-00175,2021-10-31,Healthcare,Middle East & Africa,DDoS,Hacktivist,19347,38.56,30293,1.01,5.45,2,0,0,0,0
INC-00176,2023-08-20,Manufacturing,Europe,Insider Threat,Unknown,37306,16.14,0,46.67,6.97,12,0,0,1,1
INC-00177,2021-08-31,Technology,Europe,Insider Threat,Unknown,402012,22.55,31673,57.59,5.63,9,9034,0,0,0
INC-00178,2025-02-27,Retail,North America,Credential Theft,Unknown,175828,52.74,0,39.24,7.4,4,0,0,1,0
INC-00179,2024-02-01,Retail,Middle East & Africa,Malware,Unknown,73092,37.07,18954,59.07,5.87,10,1858,1,0,0
INC-00180,2022-08-10,Government,Asia Pacific,DDoS,Insider,9756,51.0,0,13.34,7.46,8,24321,1,0,0
INC-00181,2021-06-20,Retail,Asia Pacific,Phishing,State-Sponsored,49121,15.15,87303,95.75,5.2,5,6190,0,0,0
INC-00182,2022-04-09,Finance,Europe,Insider Threat,Cybercriminal Group,33276,5.71,50074,48.33,5.79,14,0,0,0,0
INC-00183,2022-02-03,Finance,Europe,Supply Chain,Unknown,179896,30.08,37307,65.09,7.67,12,4777,0,0,0
INC-00184,2021-10-09,Government,Middle East & Africa,Supply Chain,Unknown,230872,3.29,27095,54.66,6.13,5,0,1,0,1
INC-00185,2024-03-20,Government,Europe,Credential Theft,Unknown,9683,0.5,8664,82.15,6.17,9,167054,0,1,0
INC-00186,2023-02-08,Technology,Asia Pacific,Malware,State-Sponsored,193273,7.95,2254,40.33,5.81,13,8910,0,1,0
INC-00187,2022-05-18,Manufacturing,Middle East & Africa,Credential Theft,Insider,395915,34.53,46291,55.65,7.92,12,0,0,1,0
INC-00188,2021-04-04,Finance,Asia Pacific,DDoS,Unknown,42916,26.7,0,26.74,5.34,5,41333,1,0,0
INC-00189,2023-06-01,Education,North America,Phishing,Hacktivist,157573,14.12,38311,25.56,3.04,16,0,1,0,0
INC-00190,2021-01-31,Manufacturing,Latin America,Supply Chain,Cybercriminal Group,96730,19.52,82243,28.78,4.7,3,75846,1,0,0
INC-00191,2022-08-05,Manufacturing,Asia Pacific,Ransomware,Insider,53382,37.5,0,1,5.78,13,0,0,1,0
INC-00192,2021-07-08,Manufacturing,Asia Pacific,Credential Theft,Hacktivist,82040,38.86,17160,62.9,8.8,10,0,0,1,0
INC-00193,2021-04-20,Manufacturing,Middle East & Africa,Insider Threat,State-Sponsored,38956,32.16,28120,32.15,5.84,8,16650,1,1,0
INC-00194,2021-04-24,Finance,Latin America,Ransomware,Unknown,52436,18.97,0,49.61,7.7,5,93125,0,1,0
INC-00195,2022-02-07,Finance,Europe,Phishing,Unknown,16274,19.61,0,13.18,4.69,13,16897,1,0,0
INC-00196,2021-09-18,Healthcare,Middle East & Africa,Phishing,Unknown,68795,41.53,59334,37.5,5.72,12,3102,0,0,0
INC-00197,2021-10-05,Finance,Europe,Supply Chain,Hacktivist,12942,48.56,52800,1,6.63,8,2441,0,0,0
INC-00198,2024-03-27,Education,North America,Ransomware,Hacktivist,24628,1.52,228815,53.04,3.07,13,0,0,0,0
INC-00199,2024-12-01,Energy,North America,Credential Theft,Cybercriminal Group,160630,27.61,93307,45.59,6.83,16,0,1,1,0
INC-00200,2022-03-24,Healthcare,North America,Phishing,Cybercriminal Group,205761,26.44,106883,18.47,5.64,6,22381,1,0,0
INC-00201,2022-12-15,Energy,Latin America,Phishing,Cybercriminal Group,70207,11.81,24835,21.66,4.11,10,16622,1,0,0
INC-00202,2021-07-03,Energy,Latin America,Credential Theft,Hacktivist,48625,45.37,89007,44.3,6.12,10,0,0,0,0
INC-00203,2025-03-13,Finance,Middle East & Africa,Ransomware,Insider,238692,39.43,119794,38.87,9.3,12,52522,0,1,0
INC-00204,2024-10-22,Energy,Europe,Ransomware,Cybercriminal Group,89263,23.78,166281,6.61,7.14,7,3931,0,1,0
INC-00205,2024-08-23,Technology,North America,Malware,Insider,204567,37.08,19177,44.03,5.96,11,19900,1,0,0
INC-00206,2024-11-10,Energy,Latin America,Phishing,Hacktivist,149814,4.72,78749,11.37,1.25,11,7737,1,0,0
INC-00207,2023-09-19,Government,Middle East & Africa,Insider Threat,Cybercriminal Group,30307,31.75,86800,53.66,7.47,12,14456,1,1,0
INC-00208,2022-06-29,Government,Europe,DDoS,Hacktivist,45809,28.62,74669,45.66,4.9,13,0,0,0,0
INC-00209,2021-03-05,Retail,Asia Pacific,Supply Chain,Unknown,213258,0.5,0,43.27,5.47,9,23612,0,1,0
INC-00210,2022-11-15,Technology,Latin America,Ransomware,Cybercriminal Group,131502,7.06,223851,2.48,4.69,18,5179,1,1,0
INC-00211,2023-07-09,Energy,Europe,Malware,Insider,24904,63.4,65837,22.35,6.6,10,7220,0,0,0
INC-00212,2024-02-17,Retail,Latin America,Credential Theft,Hacktivist,35459,19.94,56405,30.62,6.33,7,0,1,0,0
INC-00213,2024-08-23,Government,North America,Credential Theft,Insider,184054,53.93,76683,1.39,8.68,10,0,0,1,0
INC-00214,2022-08-24,Energy,North America,Credential Theft,State-Sponsored,48215,64.77,0,12.33,5.51,12,28901,0,0,0
INC-00215,2024-05-27,Healthcare,Europe,Insider Threat,State-Sponsored,301634,15.0,0,65.46,8.11,13,0,1,1,0
